Agency,Site,Site AQS,Param,Param AQS,POC,Method,Duration,Date (LST),Unit,Concentration
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/2/2018,UG/M3,2.1
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/3/2018,UG/M3,8.6
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/4/2018,UG/M3,11.6
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/5/2018,UG/M3,6.2
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/6/2018,UG/M3,6.3
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/7/2018,UG/M3,3.6
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/8/2018,UG/M3,2.3
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/9/2018,UG/M3,2.5
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/12/2018,UG/M3,2.5
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/13/2018,UG/M3,3.4
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/14/2018,UG/M3,3.7
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/15/2018,UG/M3,4.5
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/16/2018,UG/M3,2.2
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/19/2018,UG/M3,4.5
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/20/2018,UG/M3,10.9
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/21/2018,UG/M3,7.3
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/22/2018,UG/M3,2.2
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/23/2018,UG/M3,2
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/24/2018,UG/M3,3.2
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/25/2018,UG/M3,3.9
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/26/2018,UG/M3,2.3
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/27/2018,UG/M3,2.3
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/28/2018,UG/M3,3.2
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/29/2018,UG/M3,5.2
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/30/2018,UG/M3,6.4
OR1,Portland - SE Lafayette,410510080,PM2.5-88502,88502,3,,24 Hrs,3/31/2018,UG/M3,4.7
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/1/2018,UG/M3,7.4
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/2/2018,UG/M3,3.8
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/3/2018,UG/M3,3.6
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/4/2018,UG/M3,5.1
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/5/2018,UG/M3,6.2
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/6/2018,UG/M3,3
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/7/2018,UG/M3,4.6
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/8/2018,UG/M3,4.6
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/9/2018,UG/M3,3.6
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/10/2018,UG/M3,3.5
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/11/2018,UG/M3,2.2
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/12/2018,UG/M3,3.1
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/13/2018,UG/M3,4.7
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/14/2018,UG/M3,3.4
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/15/2018,UG/M3,2.4
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/16/2018,UG/M3,3.7
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/17/2018,UG/M3,3.9
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/18/2018,UG/M3,2.3
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/19/2018,UG/M3,1.8
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/20/2018,UG/M3,2.2
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/21/2018,UG/M3,2.1
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/22/2018,UG/M3,3.1
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/23/2018,UG/M3,2.7
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/24/2018,UG/M3,1.8
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/25/2018,UG/M3,1.5
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/26/2018,UG/M3,1.9
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/27/2018,UG/M3,2.4
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/28/2018,UG/M3,3.1
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/29/2018,UG/M3,2.5
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/30/2018,UG/M3,2.2
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,1/31/2018,UG/M3,6.8
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/1/2018,UG/M3,5.9
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/2/2018,UG/M3,4.1
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/3/2018,UG/M3,3.9
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/4/2018,UG/M3,3.3
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/5/2018,UG/M3,2.3
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/6/2018,UG/M3,4.8
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/7/2018,UG/M3,5.4
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/8/2018,UG/M3,9.2
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/9/2018,UG/M3,2
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/10/2018,UG/M3,3.8
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/11/2018,UG/M3,6.8
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/12/2018,UG/M3,4.5
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/13/2018,UG/M3,5.7
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/14/2018,UG/M3,5
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/15/2018,UG/M3,4.1
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/16/2018,UG/M3,4.1
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/17/2018,UG/M3,1.5
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/18/2018,UG/M3,1.7
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/19/2018,UG/M3,3.3
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/20/2018,UG/M3,5.3
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/21/2018,UG/M3,4.8
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/22/2018,UG/M3,3.3
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/23/2018,UG/M3,5.6
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/24/2018,UG/M3,2.6
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/25/2018,UG/M3,2.4
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/26/2018,UG/M3,5.5
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/27/2018,UG/M3,5.7
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,2/28/2018,UG/M3,2.6
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/1/2018,UG/M3,2.1
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/2/2018,UG/M3,1.3
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/3/2018,UG/M3,2.4
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/4/2018,UG/M3,3.9
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/5/2018,UG/M3,2.4
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/6/2018,UG/M3,3.7
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/7/2018,UG/M3,4
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/8/2018,UG/M3,2.5
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/9/2018,UG/M3,2.1
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/12/2018,UG/M3,2.7
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/13/2018,UG/M3,2.9
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/14/2018,UG/M3,2.5
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/15/2018,UG/M3,2.8
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/16/2018,UG/M3,2.9
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/17/2018,UG/M3,5
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/18/2018,UG/M3,3.9
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/19/2018,UG/M3,3.5
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/20/2018,UG/M3,3.6
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/21/2018,UG/M3,5.8
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/22/2018,UG/M3,2.2
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/23/2018,UG/M3,1.7
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/24/2018,UG/M3,2.1
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/25/2018,UG/M3,3.9
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/26/2018,UG/M3,2.6
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/27/2018,UG/M3,2.6
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/28/2018,UG/M3,3
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/29/2018,UG/M3,4.2
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/30/2018,UG/M3,5.3
OR1,Portland - Sauvie Island,410090004,PM2.5-88502,88502,3,,24 Hrs,3/31/2018,UG/M3,3.3
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/1/2018,UG/M3,12.6
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/2/2018,UG/M3,6.1
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/3/2018,UG/M3,9.7
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/4/2018,UG/M3,11.8
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/5/2018,UG/M3,20.7
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/6/2018,UG/M3,22.9
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/7/2018,UG/M3,21
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/8/2018,UG/M3,18.7
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/9/2018,UG/M3,10.5
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/10/2018,UG/M3,9.1
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/11/2018,UG/M3,8.7
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/12/2018,UG/M3,12.3
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/13/2018,UG/M3,18.8
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/14/2018,UG/M3,17.4
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/15/2018,UG/M3,10.2
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/16/2018,UG/M3,14.7
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/17/2018,UG/M3,11.2
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/18/2018,UG/M3,5.4
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/19/2018,UG/M3,17.3
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/20/2018,UG/M3,16.9
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/21/2018,UG/M3,5.9
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/22/2018,UG/M3,15.3
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/23/2018,UG/M3,4.4
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/24/2018,UG/M3,3.9
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/25/2018,UG/M3,4.5
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/26/2018,UG/M3,7.2
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/27/2018,UG/M3,3.8
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/28/2018,UG/M3,11.9
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/29/2018,UG/M3,7.9
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/30/2018,UG/M3,5.3
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,1/31/2018,UG/M3,11.8
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/1/2018,UG/M3,7.7
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/2/2018,UG/M3,4.7
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/3/2018,UG/M3,8.9
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/4/2018,UG/M3,12
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/5/2018,UG/M3,3.7
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/6/2018,UG/M3,13
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/7/2018,UG/M3,12.1
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/8/2018,UG/M3,8.3
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/9/2018,UG/M3,6.6
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/10/2018,UG/M3,11.5
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/11/2018,UG/M3,9.2
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/12/2018,UG/M3,7.3
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/13/2018,UG/M3,9.8
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/14/2018,UG/M3,6
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/15/2018,UG/M3,10.2
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/16/2018,UG/M3,9.1
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/17/2018,UG/M3,5.7
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/18/2018,UG/M3,2.9
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/19/2018,UG/M3,5.1
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/20/2018,UG/M3,6.4
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/21/2018,UG/M3,9.7
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/22/2018,UG/M3,7.8
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/23/2018,UG/M3,7
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/24/2018,UG/M3,4.9
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/25/2018,UG/M3,4
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/26/2018,UG/M3,6.5
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/27/2018,UG/M3,6.1
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,2/28/2018,UG/M3,5.2
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/1/2018,UG/M3,3.1
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/2/2018,UG/M3,2.7
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/3/2018,UG/M3,5.4
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/4/2018,UG/M3,4.6
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/5/2018,UG/M3,9
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/6/2018,UG/M3,10.7
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/7/2018,UG/M3,9
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/8/2018,UG/M3,3.5
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/9/2018,UG/M3,4.5
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/12/2018,UG/M3,2.9
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/13/2018,UG/M3,3
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/14/2018,UG/M3,4.6
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/15/2018,UG/M3,6.2
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/16/2018,UG/M3,7.8
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/17/2018,UG/M3,8.6
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/18/2018,UG/M3,7.5
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/19/2018,UG/M3,9
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/20/2018,UG/M3,3.8
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/21/2018,UG/M3,3.9
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/22/2018,UG/M3,3.1
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/23/2018,UG/M3,2.5
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/24/2018,UG/M3,5
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/25/2018,UG/M3,4.3
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/26/2018,UG/M3,4.8
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/27/2018,UG/M3,4.7
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/28/2018,UG/M3,4.1
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/29/2018,UG/M3,4.9
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/30/2018,UG/M3,6.9
OR1,Prineville - Davidson Park,410130100,PM2.5-88502,88502,3,,24 Hrs,3/31/2018,UG/M3,5.6
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/1/2018,UG/M3,5.4
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/2/2018,UG/M3,4.3
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/3/2018,UG/M3,8.4
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/4/2018,UG/M3,7.8
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/5/2018,UG/M3,4.8
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/6/2018,UG/M3,4.1
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/7/2018,UG/M3,5.6
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/8/2018,UG/M3,5.1
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/9/2018,UG/M3,6.2
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/10/2018,UG/M3,3.3
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/11/2018,UG/M3,4.5
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/12/2018,UG/M3,4.3
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/13/2018,UG/M3,8.9
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/14/2018,UG/M3,11.2
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/15/2018,UG/M3,7.8
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/16/2018,UG/M3,5.3
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/17/2018,UG/M3,6.2
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/18/2018,UG/M3,2.1
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/19/2018,UG/M3,2.7
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/20/2018,UG/M3,5.8
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/21/2018,UG/M3,4.6
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/22/2018,UG/M3,3.5
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/23/2018,UG/M3,6.2
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/24/2018,UG/M3,2.6
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/25/2018,UG/M3,2.7
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/26/2018,UG/M3,4
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/27/2018,UG/M3,3.6
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/28/2018,UG/M3,3.6
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/29/2018,UG/M3,6
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/30/2018,UG/M3,4.2
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,1/31/2018,UG/M3,7.1
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,2/1/2018,UG/M3,8.4
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,2/2/2018,UG/M3,7.8
OR1,Provolt - Seed Orchard,410330011,PM2.5-88502,88502,3,,24 Hrs,2/3/2018,UG/M3,7.2
